prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-F8-00,16257023,-16472,236,144,-25,-6,-5
FF-0F-F9-00,16322559,-16544,232,154,-25,-1,-12
FF-0F-FA-00,16388095,-16496,222,172,-25,-1,-12
FF-0F-FB-00,16453631,-16498,226,226,-25,1,-12
FF-0F-FC-00,16519167,-16488,224,200,-25,1,-12
FF-0F-FD-00,16584703,-16520,222,110,-24,-2,-9
FF-0F-FE-00,16650239,-16538,206,146,-24,-2,-9
FF-0F-FF-00,16715775,-16496,230,222,-24,-6,-6
FF-0F-00-01,16781311,-16548,232,234,-24,-6,-6
FF-0F-01-01,16846847,-16580,252,68,-24,-5,-10
FF-0F-02-01,16912383,-16466,218,86,-24,-5,-10
FF-0F-03-01,16977919,-16514,252,184,-26,-4,-12
FF-0F-04-01,17043455,-16482,188,118,-26,-4,-12
FF-0F-05-01,17108991,-16470,228,26,-25,1,-12
FF-0F-06-01,17174527,-16520,230,108,-25,1,-12
FF-0F-07-01,17240063,-16502,218,152,-26,-2,-7
FF-0F-08-01,17305599,-16502,268,232,-26,-2,-7
FF-0F-09-01,17371135,-16536,200,248,-26,-2,-7
FF-0F-0A-01,17436671,-16454,236,152,-25,-9,-4
FF-0F-0B-01,17502207,-16548,292,162,-25,-9,-4
FF-0F-0C-01,17567743,-16518,204,176,-25,-8,-8
FF-0F-0D-01,17633279,-16484,236,176,-25,-8,-8
FF-0F-0E-01,17698815,-16478,198,-12,-26,1,-13
FF-0F-0F-01,17764351,-16502,228,72,-26,1,-13
FF-0F-10-01,17829887,-16500,252,190,-25,1,-11
FF-0F-11-01,17895423,-16556,234,170,-25,1,-11
FF-0F-12-01,17960959,-16498,308,130,-25,-6,-6
FF-0F-13-01,18026495,-16556,254,84,-25,-6,-6
FF-0F-14-01,18092031,-16454,230,246,-24,-5,-6
FF-0F-15-01,18157567,-16488,194,148,-24,-5,-6
FF-0F-16-01,18223103,-16548,296,80,-25,0,-12
FF-0F-17-01,18288639,-16458,248,132,-25,0,-12
FF-0F-18-01,18354175,-16412,212,184,-26,0,-13
FF-0F-19-01,18419711,-16548,214,280,-26,0,-13
FF-0F-1A-01,18485247,-16550,222,286,-24,-7,-5
FF-0F-1B-01,18550783,-16598,262,170,-24,-7,-5
FF-0F-1C-01,18616319,-16540,254,142,-25,-7,-7
FF-0F-1D-01,18681855,-16448,262,192,-25,-7,-7
FF-0F-1E-01,18747391,-16458,290,192,-24,-5,-12
FF-0F-1F-01,18812927,-16512,266,124,-24,-5,-12
FF-0F-20-01,18878463,-16488,242,74,-25,-2,-14
FF-0F-21-01,18943999,-16506,214,212,-25,-2,-14
FF-0F-22-01,19009535,-16508,230,274,-25,-1,-12
FF-0F-23-01,19075071,-16524,214,86,-25,-1,-12
FF-0F-24-01,19140607,-16572,242,122,-23,-6,-3
FF-0F-25-01,19206143,-16538,224,236,-23,-6,-3
FF-0F-26-01,19271679,-16466,228,208,-24,-4,-3
FF-0F-27-01,19337215,-16506,252,80,-24,-4,-3
FF-0F-28-01,19402751,-16596,268,182,-24,-4,-3
FF-0F-29-01,19468287,-16578,248,246,-25,-1,-8
FF-0F-2A-01,19533823,-16520,280,216,-25,-1,-8
FF-0F-2B-01,19599359,-16424,208,218,-22,-8,-11
FF-0F-2C-01,19664895,-16536,230,78,-22,-8,-11
FF-0F-2D-01,19730431,-16530,236,172,-25,-2,-19
FF-0F-2E-01,19795967,-16422,224,288,-25,-2,-19
FF-0F-2F-01,19861503,-16452,228,116,-26,6,-19
FF-0F-30-01,19927039,-16494,236,28,-26,6,-19
FF-0F-31-01,19992575,-16524,256,154,-24,-1,-11
FF-0F-32-01,20058111,-16472,236,320,-24,-1,-11
FF-0F-33-01,20123647,-16514,204,134,-25,-12,-1
FF-0F-34-01,20189183,-16536,266,264,-25,-12,-1
FF-0F-35-01,20254719,-16548,206,244,-22,-13,-7
FF-0F-36-01,20320255,-16524,248,100,-22,-13,-7
FF-0F-37-01,20385791,-16478,190,242,-25,1,-20
FF-0F-38-01,20451327,-16518,222,78,-25,1,-20
FF-0F-39-01,20516863,-16418,208,76,-26,4,-17
FF-0F-3A-01,20582399,-16470,244,168,-26,4,-17
FF-0F-3B-01,20647935,-16454,198,212,-25,-2,-2
FF-0F-3C-01,20713471,-16620,284,34,-25,-2,-2
FF-0F-3D-01,20779007,-16538,272,88,-23,-11,5
FF-0F-3E-01,20844543,-16548,262,170,-23,-11,5
FF-0F-3F-01,20910079,-16488,218,198,-24,-12,-7
FF-0F-40-01,20975615,-16536,286,106,-24,-12,-7
FF-0F-41-01,21041151,-16476,232,90,-25,-2,-21
FF-0F-42-01,21106687,-16508,260,180,-25,-2,-21
FF-0F-43-01,21172223,-16496,232,206,-24,1,-12
FF-0F-44-01,21237759,-16506,212,212,-24,1,-12
