prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-DF-00,14618623,16224,-456,898,-25,-3,-10
FF-0F-E0-00,14684159,16258,-400,1062,-25,-3,-10
FF-0F-E1-00,14749695,16274,-436,1116,-25,0,-10
FF-0F-E2-00,14815231,16186,-480,1134,-25,0,-10
FF-0F-E3-00,14880767,16290,-340,1004,-26,-13,-9
FF-0F-E4-00,14946303,16302,-404,930,-26,-13,-9
FF-0F-E5-00,15011839,16204,-432,858,-25,-15,-8
FF-0F-E6-00,15077375,16292,-370,916,-25,-15,-8
FF-0F-E7-00,15142911,16200,-390,922,-23,-2,-8
FF-0F-E8-00,15208447,16224,-534,752,-23,-2,-8
FF-0F-E9-00,15273983,16272,-500,874,-24,15,-5
FF-0F-EA-00,15339519,16172,-328,834,-24,15,-5
FF-0F-EB-00,15405055,16330,-300,1010,-22,31,-10
FF-0F-EC-00,15470591,16312,-334,964,-22,31,-10
FF-0F-ED-00,15536127,16252,-576,314,-17,47,2
FF-0F-EE-00,15601663,16478,-412,616,-17,47,2
FF-0F-EF-00,15667199,16192,-224,1372,-20,65,-11
FF-0F-F0-00,15732735,16228,-402,828,-20,65,-11
FF-0F-F1-00,15798271,16392,400,1200,-20,65,-11
FF-0F-F2-00,15863807,16382,-1014,2066,-24,54,-1
FF-0F-F3-00,15929343,16396,200,460,-24,54,-1
FF-0F-F4-00,15994879,16350,-930,622,-25,44,-5
FF-0F-F5-00,16060415,16358,6,792,-25,44,-5
FF-0F-F6-00,16125951,16274,-494,832,-19,91,0
FF-0F-F7-00,16191487,16322,-220,332,-19,91,0
FF-0F-F8-00,16257023,16248,-1410,-82,-22,91,1
FF-0F-F9-00,16322559,16144,-160,1524,-22,91,1
FF-0F-FA-00,16388095,16244,-628,1822,-24,74,-3
FF-0F-FB-00,16453631,16248,-606,1836,-24,74,-3
FF-0F-FC-00,16519167,16234,-252,1310,-24,43,-5
FF-0F-FD-00,16584703,16224,-948,1102,-24,43,-5
FF-0F-FE-00,16650239,16066,768,1472,-33,4,-15
FF-0F-FF-00,16715775,16228,-1124,1544,-33,4,-15
FF-0F-00-01,16781311,16312,-236,1648,-30,-33,-12
FF-0F-01-01,16846847,16358,-682,440,-30,-33,-12
FF-0F-02-01,16912383,16084,-194,430,-24,-70,-12
FF-0F-03-01,16977919,16320,-298,-78,-24,-70,-12
FF-0F-04-01,17043455,16238,-446,790,-28,-60,-15
FF-0F-05-01,17108991,16282,-432,692,-28,-60,-15
FF-0F-06-01,17174527,16292,-334,1162,-26,1,-8
FF-0F-07-01,17240063,16210,-416,986,-26,1,-8
FF-0F-08-01,17305599,16256,-546,1112,-23,30,-5
FF-0F-09-01,17371135,16208,-336,1244,-23,30,-5
FF-0F-0A-01,17436671,16258,-608,1498,-23,42,-6
FF-0F-0B-01,17502207,16214,-382,1784,-23,42,-6
FF-0F-0C-01,17567743,16234,-518,1482,-25,2,-9
FF-0F-0D-01,17633279,16208,-522,1166,-25,2,-9
FF-0F-0E-01,17698815,16286,-358,732,-26,-34,-11
FF-0F-0F-01,17764351,16282,-438,794,-26,-34,-11
FF-0F-10-01,17829887,16196,-440,1092,-26,-34,-11
FF-0F-11-01,17895423,16296,-432,1284,-24,2,-9
FF-0F-12-01,17960959,16240,-430,1152,-24,2,-9
FF-0F-13-01,18026495,16228,-420,990,-24,19,-7
FF-0F-14-01,18092031,16238,-462,1010,-24,19,-7
FF-0F-15-01,18157567,16226,-488,1324,-25,23,-6
FF-0F-16-01,18223103,16208,-456,1882,-25,23,-6
FF-0F-17-01,18288639,16200,-396,1928,-23,16,-10
FF-0F-18-01,18354175,16240,-480,1448,-23,16,-10
FF-0F-19-01,18419711,16226,-474,910,-26,-51,-11
FF-0F-1A-01,18485247,16216,-492,614,-26,-51,-11
FF-0F-1B-01,18550783,16254,-396,808,-27,-59,-13
FF-0F-1C-01,18616319,16202,-416,930,-27,-59,-13
FF-0F-1D-01,18681855,16298,-500,942,-24,-15,-12
FF-0F-1E-01,18747391,16238,-384,1030,-24,-15,-12
FF-0F-1F-01,18812927,16262,-454,1184,-25,1,-9
FF-0F-20-01,18878463,16230,-416,1354,-25,1,-9
FF-0F-21-01,18943999,16228,-476,1376,-24,8,-9
FF-0F-22-01,19009535,16252,-474,1328,-24,8,-9
FF-0F-23-01,19075071,16220,-440,1116,-25,-11,-10
FF-0F-24-01,19140607,16252,-416,1152,-25,-11,-10
FF-0F-25-01,19206143,16208,-736,1048,-26,-21,-9
FF-0F-26-01,19271679,16200,-286,1374,-26,-21,-9
FF-0F-27-01,19337215,16272,-500,1132,-27,-34,-14
FF-0F-28-01,19402751,16228,-390,1082,-27,-34,-14
FF-0F-29-01,19468287,16276,-474,850,-30,-30,-12
FF-0F-2A-01,19533823,16274,-460,870,-30,-30,-12
FF-0F-2B-01,19599359,16220,-456,924,-24,12,-7
FF-0F-2C-01,19664895,16226,-444,1282,-24,12,-7
FF-0F-2D-01,19730431,16210,-494,1512,-23,23,-8
FF-0F-2E-01,19795967,16208,-464,1586,-23,23,-8
FF-0F-2F-01,19861503,16418,-304,3760,-23,23,-8
FF-0F-30-01,19927039,16026,-164,314,-26,-31,-12
FF-0F-31-01,19992575,16162,-788,516,-26,-31,-12
FF-0F-32-01,20058111,16322,-102,394,-31,-61,-15
FF-0F-33-01,20123647,16244,-744,844,-31,-61,-15
FF-0F-34-01,20189183,16192,-272,952,-26,-33,-12
FF-0F-35-01,20254719,16264,-468,1014,-26,-33,-12
FF-0F-36-01,20320255,16282,-420,1116,-25,-11,-11
FF-0F-37-01,20385791,16300,-420,1128,-25,-11,-11
FF-0F-38-01,20451327,16216,-400,1040,-26,-10,-9
FF-0F-39-01,20516863,16224,-424,922,-26,-10,-9
FF-0F-3A-01,20582399,16310,-438,988,-25,-8,-9
FF-0F-3B-01,20647935,16228,-438,920,-25,-8,-9
FF-0F-3C-01,20713471,16204,-474,1300,-23,13,-9
FF-0F-3D-01,20779007,16240,-540,1332,-23,13,-9
FF-0F-3E-01,20844543,16258,-454,1362,-23,4,-10
FF-0F-3F-01,20910079,16274,-522,1212,-23,4,-10
FF-0F-40-01,20975615,16190,-420,912,-25,-29,-12
FF-0F-41-01,21041151,16272,-358,952,-25,-29,-12
FF-0F-42-01,21106687,16274,-456,794,-25,-37,-11
FF-0F-43-01,21172223,16256,-328,754,-25,-37,-11
FF-0F-44-01,21237759,16190,-438,980,-24,-7,-8
FF-0F-45-01,21303295,16176,-512,1062,-24,-7,-8
FF-0F-46-01,21368831,16244,-400,1140,-24,10,-8
FF-0F-47-01,21434367,16262,-436,996,-24,10,-8
FF-0F-48-01,21499903,16250,-476,1018,-25,6,-9
FF-0F-49-01,21565439,16292,-412,1238,-25,6,-9
FF-0F-4A-01,21630975,16272,-462,1272,-25,6,-7
FF-0F-4B-01,21696511,16268,-496,1360,-25,6,-7
FF-0F-4C-01,21762047,16258,-460,1196,-25,-10,-10
FF-0F-4D-01,21827583,16286,-522,1030,-25,-10,-10
FF-0F-4E-01,21893119,16192,-424,898,-26,-23,-11
FF-0F-4F-01,21958655,16272,-406,900,-26,-23,-11
FF-0F-50-01,22024191,16258,-500,992,-26,-23,-11
FF-0F-51-01,22089727,16240,-344,1050,-25,-11,-9
FF-0F-52-01,22155263,16256,-474,1086,-25,-11,-9
FF-0F-53-01,22220799,16250,-446,1226,-24,3,-6
FF-0F-54-01,22286335,16252,-454,1076,-24,3,-6
FF-0F-55-01,22351871,16204,-450,934,-24,-1,-9
FF-0F-56-01,22417407,16192,-486,1138,-24,-1,-9
FF-0F-57-01,22482943,16232,-464,1144,-24,6,-7
FF-0F-58-01,22548479,16264,-424,1034,-24,6,-7
FF-0F-59-01,22614015,16178,-426,936,-25,-3,-9
FF-0F-5A-01,22679551,16304,-462,1112,-25,-3,-9
FF-0F-5B-01,22745087,16232,-508,1230,-25,-2,-8
FF-0F-5C-01,22810623,16266,-454,1220,-25,-2,-8
FF-0F-5D-01,22876159,16272,-488,1106,-23,-4,-9
FF-0F-5E-01,22941695,16240,-438,1072,-23,-4,-9
FF-0F-5F-01,23007231,16152,-624,-532,-24,-10,-10
FF-0F-60-01,23072767,16344,-178,1190,-24,-10,-10
FF-0F-61-01,23138303,16304,-594,1666,-26,3,-8
FF-0F-62-01,23203839,16216,-504,1148,-26,3,-8
FF-0F-63-01,23269375,16262,-220,1196,-24,-6,-12
FF-0F-64-01,23334911,16258,-644,756,-24,-6,-12
FF-0F-65-01,23400447,16220,-238,1240,-25,1,-10
FF-0F-66-01,23465983,16240,-662,956,-25,1,-10
FF-0F-67-01,23531519,16230,-300,1072,-25,7,-8
FF-0F-68-01,23597055,16258,-552,1114,-25,7,-8
