prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-69-00,6885375,-450,-16400,802,-23,-4,-10
FF-0F-6A-00,6950911,-500,-16346,812,-23,-4,-10
FF-0F-6B-00,7016447,-504,-16402,826,-24,-3,-11
FF-0F-6C-00,7081983,-494,-16364,752,-24,-3,-11
FF-0F-6D-00,7147519,-466,-16304,724,-25,-4,-11
FF-0F-6E-00,7213055,-478,-16388,854,-25,-4,-11
FF-0F-6F-00,7278591,-482,-16440,842,-23,-5,-10
FF-0F-70-00,7344127,-470,-16408,692,-23,-5,-10
FF-0F-71-00,7409663,-466,-16450,710,-26,-3,-9
FF-0F-72-00,7475199,-450,-16388,1004,-26,-3,-9
FF-0F-73-00,7540735,-456,-16414,908,-23,-5,-9
FF-0F-74-00,7606271,-500,-16334,722,-23,-5,-9
FF-0F-75-00,7671807,-476,-16398,700,-26,-3,-9
FF-0F-76-00,7737343,-450,-16332,818,-26,-3,-9
FF-0F-77-00,7802879,-494,-16382,776,-23,-4,-11
FF-0F-78-00,7868415,-538,-16382,744,-23,-4,-11
FF-0F-79-00,7933951,-488,-16426,758,-25,-3,-10
FF-0F-7A-00,7999487,-474,-16376,842,-25,-3,-10
FF-0F-7B-00,8065023,-532,-16406,838,-21,-4,-7
FF-0F-7C-00,8130559,-466,-16346,832,-21,-4,-7
FF-0F-7D-00,8196095,-528,-16350,720,-26,-3,-9
FF-0F-7E-00,8261631,-494,-16386,784,-26,-3,-9
FF-0F-7F-00,8327167,-448,-16344,852,-24,-4,-8
FF-0F-80-00,8392703,-476,-16362,718,-24,-4,-8
FF-0F-81-00,8458239,-498,-16370,698,-24,-4,-9
FF-0F-82-00,8523775,-476,-16424,888,-24,-4,-9
FF-0F-83-00,8589311,-514,-16360,798,-26,-3,-10
FF-0F-84-00,8654847,-498,-16400,834,-26,-3,-10
FF-0F-85-00,8720383,-484,-16406,764,-23,-3,-10
FF-0F-86-00,8785919,-502,-16398,808,-23,-3,-10
FF-0F-87-00,8851455,-474,-16398,770,-23,-3,-10
FF-0F-88-00,8916991,-506,-16430,786,-25,-4,-9
FF-0F-89-00,8982527,-514,-16364,728,-25,-4,-9
FF-0F-8A-00,9048063,-514,-16382,718,-22,-3,-11
FF-0F-8B-00,9113599,-484,-16412,938,-22,-3,-11
FF-0F-8C-00,9179135,-508,-16388,806,-24,-3,-9
FF-0F-8D-00,9244671,-466,-16392,806,-24,-3,-9
FF-0F-8E-00,9310207,-478,-16350,754,-23,-4,-9
FF-0F-8F-00,9375743,-464,-16362,796,-23,-4,-9
