prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-96-03,60166143,-1234,-1004,16656,-27,-3,-10
FF-0F-97-03,60231679,-1154,-982,16696,-27,-3,-10
FF-0F-98-03,60297215,-1218,-978,16670,-27,-3,-10
FF-0F-99-03,60362751,-1164,-1008,16646,-27,-2,-10
FF-0F-9A-03,60428287,-1212,-992,16684,-27,-2,-10
FF-0F-9B-03,60493823,-1246,-998,16688,-26,-3,-10
FF-0F-9C-03,60559359,-1216,-966,16644,-26,-3,-10
FF-0F-9D-03,60624895,-1162,-940,16664,-26,-2,-10
FF-0F-9E-03,60690431,-1188,-974,16666,-26,-2,-10
FF-0F-9F-03,60755967,-1206,-1000,16724,-25,-2,-9
FF-0F-A0-03,60821503,-1222,-1026,16686,-25,-2,-9
FF-0F-A1-03,60887039,-1230,-910,16722,-25,-2,-10
FF-0F-A2-03,60952575,-1242,-986,16704,-25,-2,-10
FF-0F-A3-03,61018111,-1216,-954,16664,-26,-3,-10
FF-0F-A4-03,61083647,-1222,-1024,16670,-26,-3,-10
FF-0F-A5-03,61149183,-1216,-936,16608,-26,-2,-11
FF-0F-A6-03,61214719,-1228,-990,16648,-26,-2,-11
FF-0F-A7-03,61280255,-1222,-974,16722,-27,-3,-10
FF-0F-A8-03,61345791,-1178,-998,16670,-27,-3,-10
FF-0F-A9-03,61411327,-1248,-972,16706,-26,-2,-9
FF-0F-AA-03,61476863,-1178,-960,16630,-26,-2,-9
FF-0F-AB-03,61542399,-1252,-966,16710,-26,-2,-11
FF-0F-AC-03,61607935,-1192,-990,16684,-26,-2,-11
FF-0F-AD-03,61673471,-1282,-804,16498,-29,-3,-10
FF-0F-AE-03,61739007,-1090,-1038,16562,-29,-3,-10
FF-0F-AF-03,61804543,-838,-1290,16106,-26,-16,1
FF-0F-B0-03,61870079,5988,2220,14258,-26,-16,1
FF-0F-B1-03,61935615,-1210,-1834,15264,-49,238,63
FF-0F-B2-03,62001151,84,-3176,16222,-49,238,63
FF-0F-B3-03,62066687,-3316,1116,24216,-46,323,4
FF-0F-B4-03,62132223,-1516,-7654,20632,-46,323,4
FF-0F-B5-03,62197759,-1966,1930,18450,9,166,3
FF-0F-B6-03,62263295,-1936,-950,17332,9,166,3
FF-0F-B7-03,62328831,-730,-1052,17002,9,166,3
FF-0F-B8-03,62394367,502,-826,16170,-40,31,22
FF-0F-B9-03,62459903,428,-994,16126,-40,31,22
FF-0F-BA-03,62525439,2852,-1064,16808,-61,-8,39
FF-0F-BB-03,62590975,1712,88,17372,-61,-8,39
FF-0F-BC-03,62656511,3450,-1340,16980,99,36,8
FF-0F-BD-03,62722047,3420,-588,17084,99,36,8
FF-0F-BE-03,62787583,5500,-1876,18200,55,-1,-45
FF-0F-BF-03,62853119,7210,-1192,16440,55,-1,-45
FF-0F-C0-03,62918655,7722,-1828,16636,17,-51,-93
FF-0F-C1-03,62984191,6156,-308,19936,17,-51,-93
FF-0F-C2-03,63049727,8332,-228,16036,50,-68,-126
FF-0F-C3-03,63115263,6488,-1818,16830,50,-68,-126
FF-0F-C4-03,63180799,11350,-2428,5272,111,-49,-171
FF-0F-C5-03,63246335,2354,3646,19446,111,-49,-171
FF-0F-C6-03,63311871,5996,-524,10272,31,43,-371
FF-0F-C7-03,63377407,2572,1134,23672,31,43,-371
FF-0F-C8-03,63442943,6042,114,23722,-63,24,-493
FF-0F-C9-03,63508479,3714,-4708,19922,-63,24,-493
FF-0F-CA-03,63574015,1446,2786,32767,113,31,-427
FF-0F-CB-03,63639551,3164,-4570,16756,113,31,-427
FF-0F-CC-03,63705087,190,4448,30660,-128,-85,-505
FF-0F-CD-03,63770623,842,-7776,7502,-128,-85,-505
FF-0F-CE-03,63836159,-3846,1208,19148,15,57,-322
FF-0F-CF-03,63901695,10322,8516,-3682,15,57,-322
FF-0F-D0-03,63967231,6776,-282,92,-262,44,-101
FF-0F-D1-03,64032767,-154,3742,20294,-262,44,-101
FF-0F-D2-03,64098303,3588,756,23566,-149,159,509
FF-0F-D3-03,64163839,-90,-268,14036,-149,159,509
FF-0F-D4-03,64229375,-9612,5806,7026,98,-103,290
FF-0F-D5-03,64294911,5510,6536,298,98,-103,290
FF-0F-D6-03,64360447,-5406,-16122,32767,98,-103,290
