prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-73-04,74649599,-3286,17882,1402,431,199,-3062
FF-0F-74-04,74715135,-1848,16450,-702,388,789,-1922
FF-0F-75-04,74780671,-902,16564,-2246,388,789,-1922
FF-0F-76-04,74846207,-334,16848,-1492,605,-819,-1228
FF-0F-77-04,74911743,-1628,16680,-1594,605,-819,-1228
FF-0F-78-04,74977279,-1518,15998,-674,304,-863,-1180
FF-0F-79-04,75042815,-2058,16270,-1448,304,-863,-1180
FF-0F-7A-04,75108351,-2292,16622,-1790,176,-375,-1297
FF-0F-7B-04,75173887,-3564,16308,-1272,176,-375,-1297
FF-0F-7C-04,75239423,-3580,16106,-112,87,-76,-1332
FF-0F-7D-04,75304959,-3142,16248,-830,87,-76,-1332
FF-0F-7E-04,75370495,-2982,16290,-978,118,-601,-1006
FF-0F-7F-04,75436031,-3096,15992,-1402,118,-601,-1006
FF-0F-80-04,75501567,-3200,16116,-1862,93,-500,-1048
FF-0F-81-04,75567103,-3656,15542,-918,93,-500,-1048
FF-0F-82-04,75632639,-3820,15578,-1064,-4,-197,-1216
FF-0F-83-04,75698175,-4238,16060,-702,-4,-197,-1216
FF-0F-84-04,75763711,-4326,16382,-762,-45,-128,-1365
FF-0F-85-04,75829247,-4828,16164,-34,-45,-128,-1365
FF-0F-86-04,75894783,-4556,15884,-842,-81,-92,-1527
FF-0F-87-04,75960319,-4818,16278,-1916,-81,-92,-1527
FF-0F-88-04,76025855,-5308,16192,-1630,-174,-130,-1678
FF-0F-89-04,76091391,-5250,16320,-1326,-174,-130,-1678
FF-0F-8A-04,76156927,-4592,17576,-1328,-323,-254,-1941
FF-0F-8B-04,76222463,-4158,19824,-1776,-323,-254,-1941
FF-0F-8C-04,76287999,-4422,20704,-1452,-575,-545,-2541
FF-0F-8D-04,76353535,-4076,21428,-46,-575,-545,-2541
FF-0F-8E-04,76419071,-3652,21248,-20,-748,-1105,-3701
FF-0F-8F-04,76484607,-4580,20636,46,-748,-1105,-3701
FF-0F-90-04,76550143,-2094,20184,-2916,-500,-1979,-4807
FF-0F-91-04,76615679,-1300,20468,-924,-500,-1979,-4807
FF-0F-92-04,76681215,-8260,19016,-6864,-375,-2907,-5508
FF-0F-93-04,76746751,-10110,27108,-4594,-375,-2907,-5508
FF-0F-94-04,76812287,-2336,17364,102,-375,-2907,-5508
FF-0F-95-04,76877823,714,15476,198,103,-2217,-4466
FF-0F-96-04,76943359,3442,13830,22,103,-2217,-4466
FF-0F-97-04,77008895,3192,14344,-1040,765,-4757,-1755
FF-0F-98-04,77074431,3246,11338,-2960,765,-4757,-1755
FF-0F-99-04,77139967,4338,10078,-674,1316,-3860,1324
FF-0F-9A-04,77205503,3764,11812,-966,1316,-3860,1324
FF-0F-9B-04,77271039,582,13752,414,1768,16,4182
FF-0F-9C-04,77336575,-1352,16294,592,1768,16,4182
FF-0F-9D-04,77402111,-2898,17990,1086,2108,1726,6317
FF-0F-9E-04,77467647,-4820,19484,1036,2108,1726,6317
FF-0F-9F-04,77533183,-6230,21464,1224,2352,2115,7991
FF-0F-A0-04,77598719,-8510,24016,1228,2352,2115,7991
FF-0F-A1-04,77664255,-18228,29630,1952,2240,3363,8584
FF-0F-A2-04,77729791,-21776,25882,-3272,2240,3363,8584
FF-0F-A3-04,77795327,-27516,16690,4162,1456,4118,7556
FF-0F-A4-04,77860863,-25956,13816,996,1456,4118,7556
FF-0F-A5-04,77926399,-26812,12846,1018,534,3797,4522
FF-0F-A6-04,77991935,-24090,10882,1018,534,3797,4522
FF-0F-A7-04,78057471,-22372,10272,1890,63,2972,1521
FF-0F-A8-04,78123007,-19928,10828,3786,63,2972,1521
FF-0F-A9-04,78188543,-656,25596,-5804,-169,695,-1236
FF-0F-AA-04,78254079,3884,20414,-2264,-169,695,-1236
FF-0F-AB-04,78319615,-838,16886,1122,-188,-1318,-1579
FF-0F-AC-04,78385151,-6674,16850,2452,-188,-1318,-1579
FF-0F-AD-04,78450687,-844,16962,-2278,159,-410,-1980
FF-0F-AE-04,78516223,-1786,15954,-1636,159,-410,-1980
FF-0F-AF-04,78581759,-2436,16952,-938,195,284,-1342
FF-0F-B0-04,78647295,-1030,16248,-1176,195,284,-1342
FF-0F-B1-04,78712831,-2736,16380,-1108,304,601,-781
FF-0F-B2-04,78778367,-1492,16812,-1912,304,601,-781
FF-0F-B3-04,78843903,-1404,16642,-762,256,-279,-331
FF-0F-B4-04,78909439,-630,16686,-1388,256,-279,-331
FF-0F-B5-04,78974975,-1062,16540,-1946,256,-279,-331
FF-0F-B6-04,79040511,-1296,16436,-1498,168,-322,-374
FF-0F-B7-04,79106047,-1476,16284,-1792,168,-322,-374
FF-0F-B8-04,79171583,-2212,16478,-1396,46,-55,-507
FF-0F-B9-04,79237119,-1766,16468,-1406,46,-55,-507
FF-0F-BA-04,79302655,-2246,16394,-616,-41,-76,-390
FF-0F-BB-04,79368191,-2024,16318,-1186,-41,-76,-390
FF-0F-BC-04,79433727,-1814,16216,-1466,8,-302,-142
FF-0F-BD-04,79499263,-1824,16216,-1180,8,-302,-142
FF-0F-BE-04,79564799,-1436,16188,-1678,48,-326,-14
FF-0F-BF-04,79630335,-1742,15938,-1874,48,-326,-14
FF-0F-C0-04,79695871,-1640,16170,-1852,26,-260,-60
FF-0F-C1-04,79761407,-1554,16212,-1704,26,-260,-60
FF-0F-C2-04,79826943,-1794,16696,-950,-90,-105,-115
FF-0F-C3-04,79892479,-1326,16768,-2798,-90,-105,-115
FF-0F-C4-04,79958015,-2964,15896,-444,-217,-4,-119
FF-0F-C5-04,80023551,-1482,16130,-2034,-217,-4,-119
FF-0F-C6-04,80089087,-2094,16618,-1468,-227,-22,-5
FF-0F-C7-04,80154623,-2010,16288,-1706,-227,-22,-5
FF-0F-C8-04,80220159,-1928,15980,-1292,-271,25,122
FF-0F-C9-04,80285695,-2320,16354,-214,-271,25,122
FF-0F-CA-04,80351231,-1998,16478,-164,-212,162,322
FF-0F-CB-04,80416767,-2038,16550,-538,-212,162,322
FF-0F-CC-04,80482303,-1830,16404,-578,-45,43,581
FF-0F-CD-04,80547839,-1222,16182,-1564,-45,43,581
FF-0F-CE-04,80613375,-924,15914,-1524,37,-78,755
FF-0F-CF-04,80678911,-838,15682,-1492,37,-78,755
FF-0F-D0-04,80744447,-748,16148,-1196,11,-97,637
FF-0F-D1-04,80809983,-750,16228,-918,11,-97,637
FF-0F-D2-04,80875519,-310,16276,-964,11,-64,461
FF-0F-D3-04,80941055,-848,16414,-820,11,-64,461
FF-0F-D4-04,81006591,-438,16200,-786,11,-64,461
FF-0F-D5-04,81072127,-158,16148,-1188,10,63,327
FF-0F-D6-04,81137663,-218,15962,-1608,10,63,327
FF-0F-D7-04,81203199,104,16240,-1646,-32,-52,161
FF-0F-D8-04,81268735,-792,16320,-1164,-32,-52,161
FF-0F-D9-04,81334271,-1006,16280,-992,-133,-31,-17
FF-0F-DA-04,81399807,-648,16144,-1040,-133,-31,-17
FF-0F-DB-04,81465343,-622,16210,-998,-144,-74,-12
FF-0F-DC-04,81530879,-600,16234,-976,-144,-74,-12
FF-0F-DD-04,81596415,-620,16232,-1234,-85,-53,12
FF-0F-DE-04,81661951,-510,16290,-1180,-85,-53,12
FF-0F-DF-04,81727487,-646,16386,-864,-35,90,-6
FF-0F-E0-04,81793023,-638,16386,-872,-35,90,-6
FF-0F-E1-04,81858559,-420,16278,-1042,-46,73,-33
FF-0F-E2-04,81924095,-594,16276,-1190,-46,73,-33
FF-0F-E3-04,81989631,-920,16310,-1018,-51,-21,-66
FF-0F-E4-04,82055167,-832,16298,-892,-51,-21,-66
FF-0F-E5-04,82120703,-822,16350,-820,-52,-52,-35
FF-0F-E6-04,82186239,-782,16294,-1058,-52,-52,-35
FF-0F-E7-04,82251775,-390,16260,-1156,-26,-51,24
FF-0F-E8-04,82317311,-596,16300,-1064,-26,-51,24
FF-0F-E9-04,82382847,-772,16328,-1024,-28,0,8
FF-0F-EA-04,82448383,-646,16252,-1034,-28,0,8
FF-0F-EB-04,82513919,-486,16236,-1152,-32,-9,14
FF-0F-EC-04,82579455,-554,16288,-1084,-32,-9,14
FF-0F-ED-04,82644991,-556,16322,-1028,-39,54,-14
FF-0F-EE-04,82710527,-566,16270,-962,-39,54,-14
FF-0F-EF-04,82776063,-630,16228,-1056,-38,74,-34
FF-0F-F0-04,82841599,-680,16376,-914,-38,74,-34
FF-0F-F1-04,82907135,-696,16418,-822,-36,57,-29
FF-0F-F2-04,82972671,-734,16350,-872,-36,57,-29
FF-0F-F3-04,83038207,-646,16290,-994,-15,-12,-2
FF-0F-F4-04,83103743,-540,16270,-1118,-15,-12,-2
FF-0F-F5-04,83169279,-630,16310,-1082,-15,-12,-2
FF-0F-F6-04,83234815,-598,16278,-1028,-13,-32,-16
FF-0F-F7-04,83300351,-656,16280,-1006,-13,-32,-16
FF-0F-F8-04,83365887,-774,16326,-954,-16,-19,-36
FF-0F-F9-04,83431423,-632,16302,-1080,-16,-19,-36
FF-0F-FA-04,83496959,-646,16284,-1048,-10,-16,-26
FF-0F-FB-04,83562495,-702,16302,-978,-10,-16,-26
FF-0F-FC-04,83628031,-730,16318,-1074,-5,-1,-14
FF-0F-FD-04,83693567,-614,16212,-1084,-5,-1,-14
FF-0F-FE-04,83759103,-696,16278,-832,2,20,-6
FF-0F-FF-04,83824639,-714,16376,-988,2,20,-6
FF-0F-00-05,83890175,-652,16266,-1024,4,13,-9
FF-0F-01-05,83955711,-662,16310,-1006,4,13,-9
FF-0F-02-05,84021247,-672,16320,-1124,6,-17,-4
FF-0F-03-05,84086783,-656,16264,-1152,6,-17,-4
FF-0F-04-05,84152319,-612,16310,-1012,2,5,-6
FF-0F-05-05,84217855,-728,16360,-1032,2,5,-6
FF-0F-06-05,84283391,-678,16314,-1138,-4,-21,7
FF-0F-07-05,84348927,-628,16254,-1142,-4,-21,7
FF-0F-08-05,84414463,-618,16288,-1184,-8,-32,25
FF-0F-09-05,84479999,-614,16320,-1150,-8,-32,25
FF-0F-0A-05,84545535,-648,16284,-1004,-13,11,10
FF-0F-0B-05,84611071,-662,16348,-986,-13,11,10
FF-0F-0C-05,84676607,-656,16284,-1190,-16,-1,8
FF-0F-0D-05,84742143,-576,16264,-1194,-16,-1,8
FF-0F-0E-05,84807679,-578,16278,-896,-20,-7,6
FF-0F-0F-05,84873215,-732,16404,-956,-20,-7,6
FF-0F-10-05,84938751,-708,16302,-818,-17,-32,11
FF-0F-11-05,85004287,-480,16248,-1142,-17,-32,11
FF-0F-12-05,85069823,-502,16278,-1166,-3,-44,12
FF-0F-13-05,85135359,-646,16304,-1128,-3,-44,12
FF-0F-14-05,85200895,-534,16246,-1160,-10,29,-12
FF-0F-15-05,85266431,-582,16304,-1112,-10,29,-12
FF-0F-16-05,85331967,-656,16300,-1146,-10,29,-12
FF-0F-17-05,85397503,-588,16280,-1206,-7,56,-17
FF-0F-18-05,85463039,-648,16362,-1074,-7,56,-17
FF-0F-19-05,85528575,-708,16388,-1080,-22,28,-8
FF-0F-1A-05,85594111,-626,16268,-1098,-22,28,-8
FF-0F-1B-05,85659647,-502,16284,-1136,-37,-62,25
FF-0F-1C-05,85725183,-560,16284,-1060,-37,-62,25
FF-0F-1D-05,85790719,-476,16228,-966,-41,-85,18
FF-0F-1E-05,85856255,-556,16324,-1000,-41,-85,18
FF-0F-1F-05,85921791,-540,16302,-1116,-35,-86,-2
FF-0F-20-05,85987327,-546,16290,-1250,-35,-86,-2
