prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-98-8F,2409107455,-1210,-226,16804,-7,17,0
FF-0F-99-8F,2409172991,-1200,-214,16802,-7,17,0
FF-0F-9A-8F,2409238527,-1198,-164,16678,-6,16,-1
FF-0F-9B-8F,2409304063,-1188,-230,16676,-6,16,-1
FF-0F-9C-8F,2409369599,-1200,-172,16808,-5,16,0
FF-0F-9D-8F,2409435135,-1216,-208,16656,-5,16,0
FF-0F-9E-8F,2409500671,-1200,-238,16762,-6,15,1
FF-0F-9F-8F,2409566207,-1248,-224,16744,-6,15,1
FF-0F-A0-8F,2409631743,-1184,-236,16696,-6,17,-1
FF-0F-A1-8F,2409697279,-1210,-212,16832,-6,17,-1
FF-0F-A2-8F,2409762815,-1216,-230,16746,-6,16,0
FF-0F-A3-8F,2409828351,-1198,-202,16692,-6,16,0
FF-0F-A4-8F,2409893887,-1234,-220,16742,-6,17,0
FF-0F-A5-8F,2409959423,-1224,-206,16784,-6,17,0
FF-0F-A6-8F,2410024959,-1232,-230,16684,-6,15,-1
FF-0F-A7-8F,2410090495,-1188,-250,16802,-6,15,-1
FF-0F-A8-8F,2410156031,-1206,-218,16746,-5,16,1
FF-0F-A9-8F,2410221567,-1196,-200,16752,-5,16,1
FF-0F-AA-8F,2410287103,-1210,-274,16758,-5,16,1
FF-0F-AB-8F,2410352639,-1200,-246,16728,-6,17,0
FF-0F-AC-8F,2410418175,-1224,-182,16702,-6,17,0
FF-0F-AD-8F,2410483711,-1210,-236,16768,-6,15,0
FF-0F-AE-8F,2410549247,-1194,-152,16762,-6,15,0
FF-0F-AF-8F,2410614783,-1170,-200,16728,-6,17,0
FF-0F-B0-8F,2410680319,-1212,-232,16774,-6,17,0
FF-0F-B1-8F,2410745855,-1168,-230,16742,-6,16,-1
FF-0F-B2-8F,2410811391,-1238,-208,16678,-6,16,-1
FF-0F-B3-8F,2410876927,-1202,-208,16744,-6,16,0
FF-0F-B4-8F,2410942463,-1200,-236,16748,-6,16,0
FF-0F-B5-8F,2411007999,-1178,-244,16710,-6,15,-1
FF-0F-B6-8F,2411073535,-1198,-242,16768,-6,15,-1
FF-0F-B7-8F,2411139071,-1198,-178,16752,-6,15,-1
FF-0F-B8-8F,2411204607,-1202,-236,16684,-6,15,-1
FF-0F-B9-8F,2411270143,-1200,-188,16768,-6,16,0
FF-0F-BA-8F,2411335679,-1188,-208,16772,-6,16,0
FF-0F-BB-8F,2411401215,-1222,-230,16722,-6,15,0
FF-0F-BC-8F,2411466751,-1190,-252,16812,-6,15,0
FF-0F-BD-8F,2411532287,-1172,-200,16732,-6,17,0
FF-0F-BE-8F,2411597823,-1194,-224,16740,-6,17,0
FF-0F-BF-8F,2411663359,-1216,-206,16760,-6,15,-1
FF-0F-C0-8F,2411728895,-1232,-188,16786,-6,15,-1
FF-0F-C1-8F,2411794431,-1174,-238,16774,-5,14,-1
FF-0F-C2-8F,2411859967,-1174,-218,16784,-5,14,-1
FF-0F-C3-8F,2411925503,-1180,-258,16764,-5,14,-1
FF-0F-C4-8F,2411991039,-1210,-256,16768,-7,16,-1
FF-0F-C5-8F,2412056575,-1152,-212,16812,-7,16,-1
FF-0F-C6-8F,2412122111,-1194,-232,16710,-6,17,0
FF-0F-C7-8F,2412187647,-1220,-246,16666,-6,17,0
FF-0F-C8-8F,2412253183,-1228,-238,16860,-6,16,-1
FF-0F-C9-8F,2412318719,-1188,-218,16688,-6,16,-1
FF-0F-CA-8F,2412384255,-1188,-270,16678,-7,16,-1
FF-0F-CB-8F,2412449791,-1194,-206,16770,-7,16,-1
FF-0F-CC-8F,2412515327,-1220,-230,16710,-5,16,-1
FF-0F-CD-8F,2412580863,-1222,-242,16692,-5,16,-1
FF-0F-CE-8F,2412646399,-1194,-224,16734,-7,17,-2
FF-0F-CF-8F,2412711935,-1212,-212,16732,-7,17,-2
FF-0F-D0-8F,2412777471,-1202,-200,16770,-5,17,-1
FF-0F-D1-8F,2412843007,-1206,-194,16746,-5,17,-1
FF-0F-D2-8F,2412908543,-1158,-214,16658,-9,16,-1
FF-0F-D3-8F,2412974079,-1222,-230,16746,-9,16,-1
FF-0F-D4-8F,2413039615,-1166,-206,16806,-5,17,-1
FF-0F-D5-8F,2413105151,-1174,-224,16718,-5,17,-1
FF-0F-D6-8F,2413170687,-1202,-242,16720,-7,16,0
FF-0F-D7-8F,2413236223,-1194,-242,16838,-7,16,0
FF-0F-D8-8F,2413301759,-1162,-230,16720,-6,16,0
FF-0F-D9-8F,2413367295,-1256,-218,16730,-6,16,0
FF-0F-DA-8F,2413432831,-1190,-230,16812,-6,16,0
FF-0F-DB-8F,2413498367,-1244,-196,16698,-8,17,-1
FF-0F-DC-8F,2413563903,-1214,-200,16736,-8,17,-1
FF-0F-DD-8F,2413629439,-1184,-230,16806,-5,17,-1
FF-0F-DE-8F,2413694975,-1198,-200,16676,-5,17,-1
FF-0F-DF-8F,2413760511,-1222,-192,16748,-6,16,-2
FF-0F-E0-8F,2413826047,-1180,-214,16780,-6,16,-2
FF-0F-E1-8F,2413891583,-1234,-206,16716,-6,16,0
FF-0F-E2-8F,2413957119,-1206,-262,16676,-6,16,0
FF-0F-E3-8F,2414022655,-1196,-218,16766,-6,16,-1
FF-0F-E4-8F,2414088191,-1192,-206,16642,-6,16,-1
FF-0F-E5-8F,2414153727,-1198,-224,16748,-6,16,0
FF-0F-E6-8F,2414219263,-1202,-196,16750,-6,16,0
FF-0F-E7-8F,2414284799,-1174,-178,16686,-5,17,-2
FF-0F-E8-8F,2414350335,-1174,-256,16762,-5,17,-2
FF-0F-E9-8F,2414415871,-1174,-212,16756,-7,16,0
FF-0F-EA-8F,2414481407,-1194,-230,16696,-7,16,0
FF-0F-EB-8F,2414546943,-1242,-214,16756,-6,17,-1
FF-0F-EC-8F,2414612479,-1190,-212,16780,-6,17,-1
FF-0F-ED-8F,2414678015,-1216,-238,16678,-6,15,1
FF-0F-EE-8F,2414743551,-1200,-172,16784,-6,15,1
FF-0F-EF-8F,2414809087,-1178,-220,16776,-6,16,-1
FF-0F-F0-8F,2414874623,-1206,-242,16712,-6,16,-1
FF-0F-F1-8F,2414940159,-1242,-220,16810,-6,15,0
FF-0F-F2-8F,2415005695,-1212,-230,16788,-6,15,0
FF-0F-F3-8F,2415071231,-1216,-178,16696,-6,15,0
FF-0F-F4-8F,2415136767,-1188,-224,16788,-7,16,1
FF-0F-F5-8F,2415202303,-1248,-206,16730,-7,16,1
FF-0F-F6-8F,2415267839,-1212,-196,16664,-6,14,-1
FF-0F-F7-8F,2415333375,-1210,-186,16760,-6,14,-1
FF-0F-F8-8F,2415398911,-1184,-218,16702,-6,16,-2
FF-0F-F9-8F,2415464447,-1190,-202,16696,-6,16,-2
FF-0F-FA-8F,2415529983,-1184,-208,16764,-6,17,-1
