prefix_hex,prefix_u32_le,accx,accy,accz,gyrx,gyry,gyrz
FF-0F-B2-00,11669503,-282,-2640,-15848,-23,-5,-10
FF-0F-B3-00,11735039,-334,-2652,-15912,-23,-5,-10
FF-0F-B4-00,11800575,-320,-2620,-15960,-22,-4,-10
FF-0F-B5-00,11866111,-310,-2588,-15872,-22,-4,-10
FF-0F-B6-00,11931647,-334,-2608,-15944,-23,-5,-11
FF-0F-B7-00,11997183,-306,-2620,-15940,-23,-5,-11
FF-0F-B8-00,12062719,-286,-2664,-15928,-24,-3,-10
FF-0F-B9-00,12128255,-324,-2608,-15936,-24,-3,-10
FF-0F-BA-00,12193791,-334,-2622,-15932,-22,-5,-9
FF-0F-BB-00,12259327,-252,-2644,-15922,-22,-5,-9
FF-0F-BC-00,12324863,-318,-2602,-16026,-22,-4,-10
FF-0F-BD-00,12390399,-318,-2600,-15990,-22,-4,-10
FF-0F-BE-00,12455935,-306,-2618,-15892,-25,-4,-9
FF-0F-BF-00,12521471,-344,-2620,-15948,-25,-4,-9
FF-0F-C0-00,12587007,-320,-2614,-15904,-23,-2,-11
FF-0F-C1-00,12652543,-328,-2636,-15914,-23,-2,-11
FF-0F-C2-00,12718079,-282,-2628,-15968,-23,-5,-9
FF-0F-C3-00,12783615,-306,-2574,-15912,-23,-5,-9
FF-0F-C4-00,12849151,-280,-2628,-15972,-23,-5,-9
FF-0F-C5-00,12914687,-310,-2652,-15916,-24,-5,-9
FF-0F-C6-00,12980223,-334,-2622,-15894,-24,-5,-9
FF-0F-C7-00,13045759,-354,-2670,-15882,-23,-5,-10
FF-0F-C8-00,13111295,-318,-2632,-15890,-23,-5,-10
FF-0F-C9-00,13176831,-304,-2622,-16044,-23,-5,-11
FF-0F-CA-00,13242367,-338,-2594,-15968,-23,-5,-11
FF-0F-CB-00,13307903,-318,-2652,-15900,-23,-4,-10
FF-0F-CC-00,13373439,-348,-2652,-15912,-23,-4,-10
FF-0F-CD-00,13438975,-324,-2556,-15988,-23,-5,-10
FF-0F-CE-00,13504511,-318,-2622,-15992,-23,-5,-10
FF-0F-CF-00,13570047,-320,-2644,-15904,-21,-4,-10
FF-0F-D0-00,13635583,-306,-2612,-15838,-21,-4,-10
FF-0F-D1-00,13701119,-330,-2598,-16046,-24,-4,-10
FF-0F-D2-00,13766655,-314,-2640,-15920,-24,-4,-10
FF-0F-D3-00,13832191,-362,-2588,-15848,-22,-5,-10
FF-0F-D4-00,13897727,-310,-2676,-15906,-22,-5,-10
FF-0F-D5-00,13963263,-312,-2598,-16016,-23,-5,-9
FF-0F-D6-00,14028799,-306,-2628,-16014,-23,-5,-9
FF-0F-D7-00,14094335,-294,-2670,-16044,-24,-4,-8
FF-0F-D8-00,14159871,-314,-2660,-15900,-24,-4,-8
FF-0F-D9-00,14225407,-306,-2592,-15870,-23,-5,-8
FF-0F-DA-00,14290943,-348,-2588,-15990,-23,-5,-8
FF-0F-DB-00,14356479,-318,-2642,-15990,-22,-4,-10
FF-0F-DC-00,14422015,-280,-2598,-15878,-22,-4,-10
FF-0F-DD-00,14487551,-324,-2676,-15916,-24,-3,-9
FF-0F-DE-00,14553087,-314,-2626,-15918,-24,-3,-9
FF-0F-DF-00,14618623,-272,-2664,-15900,-23,-4,-9
FF-0F-E0-00,14684159,-330,-2598,-15954,-23,-4,-9
